ACTUAL,LSVR,LASSO,RIDGE,ENSEMBLE,LSTM
71.41800156,71.23885286,71.26596532,71.26078473,71.25520097,71.420845
71.27499926,71.3727707,71.40027129,71.39492167,71.38932122,71.28931
71.15500078,71.23091699,71.25800645,71.25283587,71.2472531,71.17804
71.45100194,71.11187891,71.13862336,71.13360304,71.1280351,71.45103
71.54899861,71.40550617,71.43310164,71.42771069,71.42210617,71.54029
71.43900152,71.50272061,71.53059783,71.52508417,71.51946753,71.440056
71.9300006,71.39360237,71.42116333,71.41578741,71.41018437,71.88186
71.51299763,71.88066651,71.90963912,71.90364841,71.89798468,71.50757
72.02500017,71.46700918,71.4947829,71.48931432,71.48370214,71.96564
71.54299935,71.974905,72.00415073,71.99804107,71.9923656,71.53484
71.82899757,71.4967687,71.52462867,71.51912253,71.51350664,71.792175
71.68999925,71.78047613,71.80915836,71.80329411,71.79764287,71.667725
71.45299815,71.64259035,71.67087295,71.66518275,71.65954868,71.45286
71.96900209,71.40749014,71.43509136,71.42969791,71.42409314,71.91632
72.16999961,71.91935389,71.94843863,71.94239908,71.93673053,72.092415
71.98900066,72.11874268,72.14840529,72.14211407,72.13642068,71.93396
71.92799835,71.93919357,71.96833581,71.96227122,71.9566002,71.8801
71.64500074,71.87868255,71.9076494,71.9016612,71.89599772,71.62718
71.77800212,71.59795107,71.62610429,71.62047044,71.61484193,71.74665
71.87500247,71.72988495,71.75842055,71.75262016,71.74697522,71.8331
71.57700168,71.82610739,71.85492187,71.84900003,71.8433431,71.5657
70.96700205,71.53049616,71.55845388,71.55290517,71.54728507,71.00211
70.98500137,70.92538591,70.95158986,70.94680494,70.94126024,71.01904
71.57999892,70.94324163,70.96949732,70.96468987,70.95914294,71.56841
71.49000177,71.53347211,71.56143846,71.55588599,71.55026552,71.48662
71.14499763,71.44419355,71.47190114,71.46646136,71.46085202,71.16873
71.37499939,71.10195907,71.12867477,71.12366697,71.11810027,71.38142
71.07499869,71.33011539,71.35749235,71.35219657,71.34660144,71.10342
70.79900142,71.03252019,71.05903464,71.05411449,71.04855644,70.8433
70.97100111,70.7587326,70.78445354,70.77987898,70.77435504,71.005875
70.98799962,70.92935385,70.9555693,70.95077937,70.94523417,71.02186
70.96400053,70.94621758,70.9724819,70.96767069,70.96212339,70.99929
70.50899811,70.92240996,70.94860528,70.94382412,70.93827979,70.56576
70.64500229,70.47105724,70.49594442,70.49173297,70.48624487,70.69644
71.10999863,70.60596706,70.63124525,70.62686351,70.62135861,71.1361
71.03000179,71.06723963,71.0938547,71.08889073,71.08332835,71.06128
70.82500077,70.98788091,71.01426598,71.00940218,71.00384969,70.86797
70.97500062,70.78452418,70.81031987,70.80571276,70.80018561,71.009636
71.21999858,70.93332179,70.95954873,70.9547538,70.9492081,71.23841
71.12000206,71.17635787,71.2032892,71.19818749,71.19261152,71.14543
70.99000028,71.07715947,71.10380329,71.0988268,71.09326319,71.02374
70.92399784,70.94820155,70.97447162,70.9696579,70.96411035,70.96161
71.23699987,70.8827306,70.90881092,70.90407984,70.89854045,71.254166
71.49999993,71.1932216,71.2202018,71.21507881,71.20950074,71.49573
