Date,USD,CRUDE,GOLD
4/8/2016,66.55100103,2608.952059,2898.105508
4/11/2016,66.28700124,2667.577006,2927.391899
4/12/2016,66.28299858,2731.64143,2936.848937
4/13/2016,66.49599804,2784.894631,2916.991182
4/14/2016,66.59700176,2794.614265,2890.490863
4/15/2016,66.66000067,2700.897688,2891.301519
4/18/2016,66.4159994,2630.240863,2906.824643
4/19/2016,66.14999989,2758.721139,2928.129072
4/20/2016,66.16600176,2824.415885,2929.312754
4/21/2016,66.4889992,2927.268102,2948.704339
4/22/2016,66.66000067,2931.903878,2927.271929
4/25/2016,66.6850006,2906.646334,2918.617276
4/26/2016,66.40399901,2900.024357,2915.511395
4/27/2016,66.36199873,2980.562481,2934.194813
4/28/2016,66.40100069,3032.827645,2954.977956
4/29/2016,66.42499923,3076.558087,3008.505044
5/2/2016,66.34599876,3022.667679,3037.814718
5/3/2016,66.55799964,2949.752462,3029.853143
5/4/2016,66.62700139,2939.726609,3012.411134
5/5/2016,66.55799964,3008.505836,3005.475977
5/6/2016,66.60000007,2957.707831,3024.099045
5/9/2016,66.75199797,2977.082995,2998.599654
5/10/2016,66.63100131,2932.897817,2976.739756
5/11/2016,66.56099886,3006.052738,2998.186097
5/12/2016,66.75699779,3096.854727,2989.116626
5/13/2016,66.85500166,3090.012465,2994.675467
5/16/2016,66.84399934,3168.32017,3013.445996
5/17/2016,66.82500183,3212.958326,3001.623879
5/18/2016,67.13999918,3255.001627,3001.281547
5/19/2016,67.43599902,3210.43646,2974.375753
5/20/2016,67.4080019,3294.556548,2978.096103
5/23/2016,67.40900156,3243.880801,2967.130132
5/24/2016,67.63000194,3283.762436,2951.576437
5/25/2016,67.2729982,3322.875799,2903.263268
5/26/2016,66.92699931,3346.270779,2897.257456
5/27/2016,67.03099802,3298.686067,2871.838465
5/30/2016,67.17099997,3338.470379,2859.307762
5/31/2016,67.20899848,3345.526213,2878.799656
6/1/2016,67.43399813,3283.30123,2899.029695
6/2/2016,67.26800225,3292.841806,2893.049737
6/3/2016,67.0000006,3286.011315,2920.441337
6/6/2016,66.79000108,3312.244831,2943.340692
6/7/2016,66.65800113,3342.177584,2931.820514
